season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,2,4,Semifinals,3,May 16 @6:00 PM,97360,Jennings,86,2,2,True,Miller Career Academy,131,3,1,False,1,Rosati-Kain,541,False
2012-2013,2012,2,4,Quarterfinals,5,May 14 @4:00 PM,97360,Vashon,206,4,2,True,Normandy Collaborative,138,5,1,False,1,Rosati-Kain,541,False
2012-2013,2012,2,5,Final,1,May 16 @4:00 PM,97407,MICDS,531,,0,False,Incarnate Word Academy,523,,2,True,2,Incarnate Word Academy,523,False
2012-2013,2012,2,5,Semifinals,2,May 14 @4:00 PM,97407,MICDS,531,1,1,True,Clayton,58,,0,False,1,Incarnate Word Academy,523,False
2012-2013,2012,2,5,Semifinals,3,May 14 @5:30 PM,97407,Incarnate Word Academy,523,2,4,True,Ladue Horton Watkins,100,3,1,False,3,Incarnate Word Academy,523,False
2012-2013,2012,2,5,Quarterfinals,5,May 13 @4:00 PM,97407,Clayton,58,4,7,True,University City,203,5,0,False,7,Incarnate Word Academy,523,False
2012-2013,2012,2,6,Final,1,May 15 @4:30 PM,96899,Visitation Academy,562,,2,True,Westminster Christian Academy,564,,1,False,1,Visitation Academy,562,False
2012-2013,2012,2,6,Semifinals,2,May 13 @3:45 PM,96899,Visitation Academy,562,1,1,True,Parkway West,163,4,0,False,1,Visitation Academy,562,False
2012-2013,2012,2,6,Semifinals,3,May 13 @5:00 PM,96899,Westminster Christian Academy,564,2,2,True,Villa Duchesne,561,3,1,False,1,Visitation Academy,562,False
2012-2013,2012,2,7,Final,1,May 15 @4:00 PM,96688,St. Dominic,542,,5,True,St. Charles,168,,1,False,4,St. Dominic,542,False
2012-2013,2012,2,7,Semifinals,2,May 13 @4:00 PM,96688,St. Dominic,542,1,1,True,St. Charles West,169,,0,False,1,St. Dominic,542,False
2012-2013,2012,2,7,Semifinals,3,May 13 @6:00 PM,96688,Ft. Zumwalt East,775,2,0,False,St. Charles,168,3,4,True,4,St. Dominic,542,False
2012-2013,2012,2,7,Quarterfinals,5,May 11 @10:00 AM,96688,St. Charles West,169,4,4,True,Warrenton,489,5,0,False,4,St. Dominic,542,False
2012-2013,2012,2,8,Final,1,May 16 @6:00 PM,96852,Hannibal,149,,1,False,Moberly,132,,2,True,1,Moberly,132,False
2012-2013,2012,2,8,Semifinals,2,May 14 @5:00 PM,96852,Hannibal,149,1,6,True,Marshall,360,,0,False,6,Moberly,132,False
2012-2013,2012,2,8,Semifinals,3,May 14 @7:00 PM,96852,Moberly,132,2,4,True,Kirksville,94,3,3,False,1,Moberly,132,False
2012-2013,2012,2,8,Quarterfinals,5,May 13 @6:00 PM,96852,Mexico,128,4,0,False,Marshall,360,5,1,True,1,Moberly,132,False
2012-2013,2012,2,9,Final,1,May 15 @6:00 PM,97432,Union,201,,5,True,St. Francis Borgia,544,,0,False,5,Union,201,False
2012-2013,2012,2,9,Semifinals,2,May 13 @5:00 PM,97432,Union,201,1,9,True,Pacific,408,,1,False,8,Union,201,False
2012-2013,2012,2,9,Semifinals,3,May 13 @7:00 PM,97432,St. Francis Borgia,544,2,2,True,Sullivan,207,3,0,False,2,Union,201,False
2012-2013,2012,2,9,Quarterfinals,5,May 11 @12:00 PM,97432,Pacific,408,4,4,True,St. Clair,170,5,0,False,4,Union,201,False
2012-2013,2012,2,10,Final,1,May 16 @6:00 PM,97259,Rolla,188,,0,False,Helias Catholic,522,,1,True,1,Helias Catholic,522,False
2012-2013,2012,2,10,Semifinals,2,May 14 @4:00 PM,97259,Rolla,188,1,10,True,Marshfield,107,4,0,False,10,Helias Catholic,522,False
2012-2013,2012,2,10,Semifinals,3,May 14 @5:45 PM,97259,Helias Catholic,522,2,3,True,Bolivar,221,3,0,False,3,Helias Catholic,522,False
2012-2013,2012,2,11,Final,1,May 17 @3:00 PM,97545,Willard,234,,1,False,Republic,423,,2,True,1,Republic,423,False
2012-2013,2012,2,11,Semifinals,2,May 15 @6:00 PM,97545,Willard,234,1,3,True,Hillcrest,91,,2,False,1,Republic,423,False
2012-2013,2012,2,11,Semifinals,3,May 15 @4:00 PM,97545,Republic,423,2,8,True,Liberty (Mountain View)/Willow Springs,343,3,1,False,7,Republic,423,False
2012-2013,2012,2,11,Quarterfinals,5,May 13 @5:00 PM,97545,Hillcrest,91,4,7,True,West Plains,230,5,1,False,6,Republic,423,False
2012-2013,2012,2,12,Final,1,May 15 @6:00 PM,97557,Carl Junction,34,,8,True,Carthage,38,,0,False,8,Carl Junction,34,False
2012-2013,2012,2,12,Semifinals,2,May 13 @5:00 PM,97557,Carl Junction,34,1,8,True,Webb City,227,4,0,False,8,Carl Junction,34,False
2012-2013,2012,2,12,Semifinals,3,May 13 @7:00 PM,97557,Carthage,38,2,3,True,Neosho,375,3,2,False,1,Carl Junction,34,False
2012-2013,2012,2,13,Final,1,May 15 @5:00 PM,97842,Grain Valley,304,,3,True,Warrensburg,218,,2,False,1,Grain Valley,304,False
2012-2013,2012,2,13,Semifinals,2,May 13 @5:30 PM,97842,Grain Valley,304,1,6,True,Pleasant Hill,416,4,0,False,6,Grain Valley,304,False
