filename,status,output,bg_fraction,slug
Hannibal Logo.jpg,processed,matched/hannibal.png,0.268,hannibal
Hardin-Central Logo.jpg,processed,matched/hardin-central.png,0.684,hardin-central
Harrisburg Logo.jpg,processed,matched/harrisburg.png,0.322,harrisburg
Harrisonville Logo.jpg,processed,matched/harrisonville.png,0.575,harrisonville
Hartville Logo.jpg,processed,matched/hartville.png,0.526,hartville
Hayti Logo.jpg,processed,matched/hayti.png,0.779,hayti
Hazelwood Central Logo.jpg,processed,matched/hazelwood-central.png,0.432,hazelwood-central
Hazelwood East Logo.jpg,processed,matched/hazelwood-east.png,0.692,hazelwood-east
Hazelwood West Logo.jpg,processed,matched/hazelwood-west.png,0.483,hazelwood-west
Helias Catholic Logo.jpg,processed,matched/helias-catholic.png,0.197,helias-catholic
Herculaneum Logo.jpg,processed,matched/herculaneum.png,0.774,herculaneum
Hermann Logo.jpg,processed,matched/hermann.png,0.561,hermann
Hermitage Logo.jpg,processed,matched/hermitage.png,0.712,hermitage
Hickman Logo.jpg,processed,matched/hickman.png,0.311,hickman
Higbee Logo.jpg,processed,matched/higbee.png,0.311,higbee
Highland Logo.jpg,processed,matched/highland.png,0.488,highland
Hillcrest Logo.jpg,processed,matched/hillcrest.png,0.816,hillcrest
Hillsboro Log.jpg,processed,matched/hillsboro.png,0.426,hillsboro
Hogan Prep Academy Charter Logo.jpg,processed,matched/hogan-prep-academy-charter.png,0.648,hogan-prep-academy-charter
Holcomb Logo.jpg,processed,matched/holcomb.png,0.673,holcomb
Holden Logo.jpg,processed,matched/holden.png,0.401,holden
Hollister Logo.jpg,processed,matched/hollister.png,0.401,hollister
Holt Logo.jpg,processed,matched/holt.png,0.451,holt
Houston Logo.jpg,processed,matched/houston.png,0.251,houston
Humansville Logo.jpg,processed,matched/humansville.png,0.466,humansville
Hume Logo.jpg,processed,matched/hume.png,0.608,hume
Hurley Logo.jpg,processed,matched/hurley.png,0.373,hurley
Iberia Logo.jpg,processed,matched/iberia.png,0.63,iberia
Incarnate Word Academy Logo.jpg,processed,matched/incarnate-word-academy.png,0.261,incarnate-word-academy
Jackson Logo.jpg,processed,matched/jackson.png,0.74,jackson
Jamestown Logo.jpg,processed,matched/jamestown.png,0.386,jamestown
Jasper Logo.jpg,processed,matched/jasper.png,0.764,jasper
Jefferson City Logo.jpg,processed,matched/jefferson-city.png,0.492,jefferson-city
Jefferson Conception Logo.jpg,processed,matched/jefferson-conception.png,0.365,jefferson-conception
Jefferson Festus Logo.jpg,processed,matched/jefferson-festus.png,0.362,jefferson-festus
Jennings Logo.jpg,processed,matched/jennings.png,0.442,jennings
John Burroughs Logo.jpg,processed,matched/john-burroughs.png,0.392,john-burroughs
Joplin Logo.jpg,processed,matched/joplin.png,0.406,joplin
KIPP KC Legacy Charter Logo.jpg,processed,matched/kipp-kc-legacy.png,0.144,kipp-kc-legacy
